year,month,cpiu,rcpiurs,ccpiu,seriesCensusRec_mthly
2020,6,256.98599,379.4,144.847,222.71144
2020,7,258.27802,381.3,145.74699,224.09525
2020,8,259.41101,382.6,146.27,224.89941
2020,9,260.02899,383.1,146.41701,225.12544
2020,10,260.28601,383.2,146.382,225.07162
2020,11,260.81299,382.9,146.242,224.85637
2020,12,262.035,383.2,146.408,225.1116
2021,1,262.64999,384.9,147.125,226.21404
2021,2,263.638,387.1,147.845,227.32108
2021,3,264.914,390,148.746,228.70642
2021,4,266.67001,393.2,149.903,230.48538
2021,5,268.444,396.7,151.022,232.20592
2021,6,270.55899,400.5,152.295,234.16322
2021,7,271.76401,402.4,153.076,235.36407
2021,8,272.87,403.1,153.30099,235.71001
2021,9,274.02802,404.2,153.73399,236.37576
2021,10,276.522,407.6,154.884,238.14398
2021,11,278.711,409.5,155.53799,239.14954
2021,12,280.88699,410.8,155.92599,239.74611
2022,1,282.599,414.3,157.17799,241.67114
2022,2,284.60999,418.2,158.617,243.88371
2022,3,287.47198,423.9,160.83501,247.29404
2022,4,288.61099,426.3,161.787,248.7578
2022,5,291.26801,431,163.61501,251.56847
2022,6,294.728,436.9,165.55299,254.54825
2022,7,294.62799,436.8,165.746,254.84502
2022,8,295.32001,436.7,165.94501,255.151
2022,9,296.539,437.6,166.418,255.87825
2022,10,297.987,439.4,167.08701,256.90689
2022,11,298.59799,439,166.98199,256.74542
2022,12,298.98999,437.6,166.59,256.1427
2023,1,300.53601,,167.873,258.11539
2023,2,301.64801,,168.83,259.58682
2023,3,301.80801,,169.364,260.40787
2023,4,302.918,,170.2,261.69327
2023,5,303.29401,,170.608,262.32059
2023,6,303.841,,171.151,263.15549
